users,event_type,country_code,no_categories,os,os_type,no_events,no_features
1,impbeacon,TT,4,"{""type"":""win"",""ver"":3}",win,8,37
1,impbeacon,TW,2,NULL,NULL,2,0
2,impbeacon,UA,2,NULL,NULL,5,0
1,impbeacon,UA,9,"{""type"":""win"",""ver"":3}",win,90,23
8,impbeacon,US,17,NULL,NULL,365,118
511,impbeacon,US,128,"{""type"":""win"",""ver"":3}",win,55294,152829
13,impbeacon,US,17,"{""type"":""win"",""ver"":6}",win,172,245
1,impbeacon,VC,13,"{""type"":""win"",""ver"":3}",win,341,1504
210,impbeacon,VE,104,"{""type"":""win"",""ver"":1}",win,62376,257316
1213,impbeacon,VE,160,"{""type"":""win"",""ver"":4}",win,370432,1544907
23,impbeacon,VN,32,"{""type"":""win"",""ver"":1}",win,3966,17463
64,impbeacon,VN,52,"{""type"":""win"",""ver"":4}",win,20621,89338
1,impbeacon,WS,3,"{""type"":""win"",""ver"":4}",win,28,113
1,impbeacon,YE,9,"{""type"":""win"",""ver"":1}",win,57,256
5,impbeacon,YE,17,"{""type"":""win"",""ver"":4}",win,344,1526
1,impbeacon,YT,8,"{""type"":""win"",""ver"":1}",win,225,836
5,impbeacon,YT,35,"{""type"":""win"",""ver"":4}",win,1328,5358
1,impbeacon,ZA,1,"{""type"":""win"",""ver"":1}",win,1,0
73,impbeacon,ZA,88,"{""type"":""win"",""ver"":4}",win,20567,12602
2,impbeacon,ZM,13,"{""type"":""win"",""ver"":4}",win,319,1314
1,impbeacon,A1,4,"{""type"":""win"",""ver"":1}",win,9,34
14,impbeacon,A1,17,"{""type"":""win"",""ver"":4}",win,268,793
31,impbeacon,AE,70,"{""type"":""win"",""ver"":5}",win,10285,42109
8,impbeacon,AF,39,"{""type"":""win"",""ver"":4}",win,2134,8494
1,impbeacon,AG,5,"{""type"":""win"",""ver"":3}",win,18,83
16,impbeacon,AL,40,"{""type"":""win"",""ver"":1}",win,6960,29947
30,impbeacon,AL,58,"{""type"":""win"",""ver"":4}",win,12827,55455
1,impbeacon,AM,4,"{""type"":""win"",""ver"":3}",win,9,37
56,impbeacon,AO,61,"{""type"":""win"",""ver"":4}",win,11952,52363
93,impbeacon,AR,95,"{""type"":""win"",""ver"":1}",win,24672,108999
995,impbeacon,AR,150,"{""type"":""win"",""ver"":4}",win,322906,1407070
7,impbeacon,AT,56,"{""type"":""win"",""ver"":5}",win,6474,27389
2,impbeacon,AU,11,"{""type"":""win"",""ver"":1}",win,90,411
21,impbeacon,AU,30,"{""type"":""win"",""ver"":4}",win,698,1367
21,impbeacon,AZ,45,"{""type"":""win"",""ver"":5}",win,6658,22914
4,impbeacon,BA,35,"{""type"":""win"",""ver"":5}",win,4040,17580
5,impbeacon,BB,30,"{""type"":""win"",""ver"":4}",win,767,3316
17,impbeacon,BD,43,"{""type"":""win"",""ver"":5}",win,4276,18992
6,impbeacon,BE,57,"{""type"":""win"",""ver"":1}",win,6624,28974
77,impbeacon,BE,87,"{""type"":""win"",""ver"":4}",win,17709,72434
11,impbeacon,BG,36,"{""type"":""win"",""ver"":5}",win,2483,10059
1,impbeacon,BH,13,"{""type"":""win"",""ver"":1}",win,775,3107
7,impbeacon,BH,22,"{""type"":""win"",""ver"":4}",win,796,3129
