users,event_type,country_code,no_categories,os,os_type,no_events,no_features
10,impbeacon,IN,31,"{""type"":""win"",""ver"":1}",win,1792,8099
218,impbeacon,IN,98,"{""type"":""win"",""ver"":4}",win,61490,248419
54,impbeacon,IQ,64,"{""type"":""win"",""ver"":4}",win,14902,66235
1,impbeacon,IS,5,"{""type"":""win"",""ver"":5}",win,40,194
904,impbeacon,IT,142,"{""type"":""win"",""ver"":1}",win,105606,415133
7343,impbeacon,IT,174,"{""type"":""win"",""ver"":4}",win,1098431,4422459
4,impbeacon,JM,29,"{""type"":""win"",""ver"":4}",win,1063,4618
5,impbeacon,JO,18,"{""type"":""win"",""ver"":5}",win,1032,4424
7,impbeacon,JP,20,"{""type"":""win"",""ver"":1}",win,208,847
44,impbeacon,JP,61,"{""type"":""win"",""ver"":4}",win,13459,56920
1,impbeacon,KE,11,"{""type"":""win"",""ver"":5}",win,214,861
9,impbeacon,KH,15,"{""type"":""win"",""ver"":5}",win,710,3174
16,impbeacon,KR,12,"{""type"":""win"",""ver"":1}",win,374,1593
111,impbeacon,KR,59,"{""type"":""win"",""ver"":4}",win,20543,86654
8,impbeacon,KW,30,"{""type"":""win"",""ver"":5}",win,635,2543
10,impbeacon,KZ,15,"{""type"":""win"",""ver"":5}",win,218,774
2,impbeacon,LB,10,"{""type"":""win"",""ver"":1}",win,189,775
22,impbeacon,LB,28,"{""type"":""win"",""ver"":4}",win,3662,15634
5,impbeacon,LK,23,"{""type"":""win"",""ver"":1}",win,838,3673
27,impbeacon,LK,49,"{""type"":""win"",""ver"":4}",win,5452,23845
16,impbeacon,LT,49,"{""type"":""win"",""ver"":4}",win,4067,17486
2,impbeacon,LU,4,"{""type"":""win"",""ver"":3}",win,53,212
2,impbeacon,LV,3,"{""type"":""win"",""ver"":5}",win,12,55
77,impbeacon,MA,76,"{""type"":""win"",""ver"":1}",win,27726,122374
230,impbeacon,MA,108,"{""type"":""win"",""ver"":4}",win,79139,348878
1,impbeacon,MC,23,"{""type"":""win"",""ver"":5}",win,625,2664
4,impbeacon,MD,21,"{""type"":""win"",""ver"":4}",win,1350,5839
3,impbeacon,MG,11,"{""type"":""win"",""ver"":1}",win,150,718
9,impbeacon,MG,43,"{""type"":""win"",""ver"":4}",win,1640,7352
1,impbeacon,MK,1,NULL,NULL,1,0
2,impbeacon,ML,1,"{""type"":""win"",""ver"":5}",win,4,16
10,impbeacon,MM,19,"{""type"":""win"",""ver"":4}",win,1267,5772
3,impbeacon,MQ,6,"{""type"":""win"",""ver"":3}",win,25,103
1,impbeacon,MR,2,"{""type"":""win"",""ver"":5}",win,2,10
5,impbeacon,MU,32,"{""type"":""win"",""ver"":5}",win,1536,6419
2,impbeacon,MV,2,"{""type"":""win"",""ver"":4}",win,2,7
5,impbeacon,MX,11,"{""type"":""win"",""ver"":2}",win,166,677
3893,impbeacon,MX,183,"{""type"":""win"",""ver"":5}",win,571010,2510389
7,impbeacon,MY,17,"{""type"":""win"",""ver"":1}",win,1001,4312
31,impbeacon,MY,67,"{""type"":""win"",""ver"":4}",win,7116,31358
4,impbeacon,NC,15,"{""type"":""win"",""ver"":4}",win,76,332
1,impbeacon,NE,8,"{""type"":""win"",""ver"":5}",win,28,116
5,impbeacon,NI,18,"{""type"":""win"",""ver"":4}",win,391,1088
10,impbeacon,NL,38,"{""type"":""win"",""ver"":1}",win,4732,1511
102,impbeacon,NL,82,"{""type"":""win"",""ver"":4}",win,12717,26348
16,impbeacon,NO,37,"{""type"":""win"",""ver"":4}",win,6723,26300
898,impbeacon,NULL,142,"{""type"":""win"",""ver"":5}",win,95818,397684
8,impbeacon,NZ,44,"{""type"":""win"",""ver"":5}",win,3372,13867
6,impbeacon,OM,28,"{""type"":""win"",""ver"":5}",win,1247,5590
9,impbeacon,PA,51,"{""type"":""win"",""ver"":4}",win,3981,17520
2,impbeacon,PE,47,"{""type"":""win"",""ver"":3}",win,3044,13783
3,impbeacon,PF,20,"{""type"":""win"",""ver"":5}",win,737,3340
1,impbeacon,PG,25,"{""type"":""win"",""ver"":4}",win,532,2321
9,impbeacon,PL,40,"{""type"":""win"",""ver"":5}",win,4313,18179
8,impbeacon,PR,39,"{""type"":""win"",""ver"":5}",win,2632,9756
5,impbeacon,PS,39,"{""type"":""win"",""ver"":1}",win,5165,23386
26,impbeacon,PS,56,"{""type"":""win"",""ver"":4}",win,10455,47807
5,impbeacon,PT,25,"{""type"":""win"",""ver"":3}",win,1112,5090
19,impbeacon,PY,51,"{""type"":""win"",""ver"":4}",win,3865,16180
3,impbeacon,RE,27,"{""type"":""win"",""ver"":1}",win,636,2898
63,impbeacon,RE,85,"{""type"":""win"",""ver"":4}",win,16991,65789
5,impbeacon,RO,12,NULL,NULL,372,129
5,impbeacon,RO,28,"{""type"":""win"",""ver"":3}",win,711,2443
12,impbeacon,RS,43,"{""type"":""win"",""ver"":5}",win,4677,20433
6,impbeacon,RU,7,NULL,NULL,128,0
36,impbeacon,RU,26,"{""type"":""win"",""ver"":3}",win,1272,226
3,impbeacon,RW,13,"{""type"":""win"",""ver"":4}",win,485,2050
4,impbeacon,SA,9,"{""type"":""win"",""ver"":1}",win,116,515
73,impbeacon,SA,76,"{""type"":""win"",""ver"":4}",win,22504,93637
12,impbeacon,SD,35,"{""type"":""win"",""ver"":4}",win,2161,9688
1,impbeacon,SG,20,"{""type"":""win"",""ver"":1}",win,818,3448
14,impbeacon,SG,25,"{""type"":""win"",""ver"":4}",win,1908,8088
11,impbeacon,SI,35,"{""type"":""win"",""ver"":5}",win,4296,17946
1,impbeacon,SM,9,"{""type"":""win"",""ver"":4}",win,153,623
2,impbeacon,SO,26,"{""type"":""win"",""ver"":5}",win,1128,4658
1,impbeacon,SV,5,"{""type"":""win"",""ver"":1}",win,19,90
9,impbeacon,SV,35,"{""type"":""win"",""ver"":4}",win,2207,10192
1,impbeacon,SY,15,"{""type"":""win"",""ver"":1}",win,727,3474
11,impbeacon,SY,30,"{""type"":""win"",""ver"":4}",win,2089,9541
21,impbeacon,TH,43,"{""type"":""win"",""ver"":5}",win,3504,15441
34,impbeacon,TN,66,"{""type"":""win"",""ver"":5}",win,13117,59518
61,impbeacon,TR,60,"{""type"":""win"",""ver"":1}",win,22280,48813
486,impbeacon,TR,118,"{""type"":""win"",""ver"":4}",win,105654,119301
2,impbeacon,TT,19,"{""type"":""win"",""ver"":5}",win,441,1884
1,impbeacon,TW,7,"{""type"":""win"",""ver"":5}",win,54,238
3,impbeacon,TZ,17,"{""type"":""win"",""ver"":5}",win,153,620
22,impbeacon,UA,40,"{""type"":""win"",""ver"":5}",win,6965,29262
1,impbeacon,US,1,"{""type"":""win"",""ver"":2}",win,88,440
5636,impbeacon,US,186,"{""type"":""win"",""ver"":5}",win,616850,1913323
1,impbeacon,UY,1,"{""type"":""win"",""ver"":5}",win,2,10
1,impbeacon,VC,13,"{""type"":""win"",""ver"":5}",win,884,3870
23,impbeacon,VE,55,"{""type"":""win"",""ver"":3}",win,2724,11111
1,impbeacon,VE,1,"{""type"":""win"",""ver"":6}",win,1,5
1,impbeacon,YT,2,"{""type"":""win"",""ver"":3}",win,12,48
3,impbeacon,ZA,13,"{""type"":""win"",""ver"":3}",win,337,0
1,impbeacon,ZW,1,"{""type"":""win"",""ver"":5}",win,2,10
2,impbeacon,A2,2,"{""type"":""win"",""ver"":5}",win,12,60
1,impbeacon,AD,1,"{""type"":""win"",""ver"":5}",win,3,12
1,impbeacon,AE,12,"{""type"":""win"",""ver"":1}",win,112,503
43,impbeacon,AE,72,"{""type"":""win"",""ver"":4}",win,8136,34169
1,impbeacon,AF,8,"{""type"":""win"",""ver"":3}",win,218,190
2,impbeacon,AG,4,"{""type"":""win"",""ver"":5}",win,15,62
1,impbeacon,AL,24,NULL,NULL,1282,0
1,impbeacon,AR,1,NULL,NULL,1,4
10,impbeacon,AR,53,"{""type"":""win"",""ver"":3}",win,4876,19994
1,impbeacon,AR,2,"{""type"":""win"",""ver"":6}",win,2,10
1,impbeacon,AT,2,"{""type"":""win"",""ver"":1}",win,16,64
24,impbeacon,AT,45,"{""type"":""win"",""ver"":4}",win,4860,19236
1,impbeacon,AU,6,"{""type"":""win"",""ver"":3}",win,12,52
2,impbeacon,AW,10,"{""type"":""win"",""ver"":4}",win,55,224
7,impbeacon,AZ,22,"{""type"":""win"",""ver"":1}",win,678,417
51,impbeacon,AZ,43,"{""type"":""win"",""ver"":4}",win,14696,47984
5,impbeacon,BA,26,"{""type"":""win"",""ver"":1}",win,1738,7689
19,impbeacon,BA,56,"{""type"":""win"",""ver"":4}",win,6407,28462
2,impbeacon,BB,18,"{""type"":""win"",""ver"":3}",win,170,761
4,impbeacon,BD,29,"{""type"":""win"",""ver"":1}",win,1450,5994
62,impbeacon,BD,66,"{""type"":""win"",""ver"":4}",win,17368,73927
4,impbeacon,BE,18,"{""type"":""win"",""ver"":3}",win,194,916
2,impbeacon,BF,2,"{""type"":""win"",""ver"":5}",win,2,9
10,impbeacon,BG,37,"{""type"":""win"",""ver"":1}",win,4305,18254
69,impbeacon,BG,76,"{""type"":""win"",""ver"":4}",win,25281,101780
1,impbeacon,BO,1,"{""type"":""win"",""ver"":5}",win,2,10
11,impbeacon,BR,24,"{""type"":""win"",""ver"":2}",win,1363,5474
12055,impbeacon,BR,182,"{""type"":""win"",""ver"":5}",win,1583829,6988653
2,impbeacon,BS,6,"{""type"":""win"",""ver"":4}",win,70,269
2,impbeacon,BY,10,"{""type"":""win"",""ver"":1}",win,325,1332
18,impbeacon,BY,28,"{""type"":""win"",""ver"":4}",win,4448,17741
1,impbeacon,CA,1,"{""type"":""win"",""ver"":3}",win,1,5
18,impbeacon,CH,51,"{""type"":""win"",""ver"":5}",win,2679,11236
4,impbeacon,CI,21,"{""type"":""win"",""ver"":1}",win,428,1947
24,impbeacon,CI,60,"{""type"":""win"",""ver"":4}",win,6251,27921
2,impbeacon,CL,32,"{""type"":""win"",""ver"":1}",win,1254,5464
34,impbeacon,CL,66,"{""type"":""win"",""ver"":4}",win,9213,39488
5,impbeacon,CN,8,"{""type"":""win"",""ver"":5}",win,123,524
39,impbeacon,CO,66,"{""type"":""win"",""ver"":1}",win,7723,34317
888,impbeacon,CO,142,"{""type"":""win"",""ver"":4}",win,288252,1254277
4,impbeacon,CR,34,"{""type"":""win"",""ver"":4}",win,1646,7298
1,impbeacon,CU,34,"{""type"":""win"",""ver"":4}",win,1105,4446
3,impbeacon,CW,14,"{""type"":""win"",""ver"":5}",win,125,560
15,impbeacon,CZ,48,"{""type"":""win"",""ver"":5}",win,9550,41656
384,impbeacon,DE,90,"{""type"":""win"",""ver"":1}",win,25018,108068
7645,impbeacon,DE,183,"{""type"":""win"",""ver"":4}",win,772202,3173905
1,impbeacon,DK,3,"{""type"":""win"",""ver"":1}",win,10,5
12,impbeacon,DK,20,"{""type"":""win"",""ver"":4}",win,1359,5062
2,impbeacon,DM,15,"{""type"":""win"",""ver"":5}",win,337,1534
90,impbeacon,DZ,93,"{""type"":""win"",""ver"":1}",win,39331,180181
484,impbeacon,DZ,130,"{""type"":""win"",""ver"":4}",win,224098,1006936
1,impbeacon,EC,1,"{""type"":""win"",""ver"":2}",win,2,8
33,impbeacon,EC,67,"{""type"":""win"",""ver"":5}",win,13673,60420
32,impbeacon,EG,46,"{""type"":""win"",""ver"":1}",win,9517,40986
109,impbeacon,EG,77,"{""type"":""win"",""ver"":4}",win,33212,143145
1181,impbeacon,ES,146,"{""type"":""win"",""ver"":1}",win,165198,681182
10008,impbeacon,ES,198,"{""type"":""win"",""ver"":4}",win,1741216,7336146
6,impbeacon,EU,10,"{""type"":""win"",""ver"":5}",win,199,943
1,impbeacon,FI,3,"{""type"":""win"",""ver"":1}",win,22,90
6,impbeacon,FI,4,"{""type"":""win"",""ver"":4}",win,12,43
995,impbeacon,FR,169,"{""type"":""win"",""ver"":1}",win,224278,833332
14641,impbeacon,FR,210,"{""type"":""win"",""ver"":4}",win,2981127,11746451
196,impbeacon,GB,97,"{""type"":""win"",""ver"":1}",win,23525,51352
4452,impbeacon,GB,182,"{""type"":""win"",""ver"":4}",win,476036,1928838
3,impbeacon,GD,12,"{""type"":""win"",""ver"":5}",win,244,1074
3,impbeacon,GE,8,"{""type"":""win"",""ver"":1}",win,41,186
33,impbeacon,GE,69,"{""type"":""win"",""ver"":4}",win,41539,177321
9,impbeacon,GH,38,"{""type"":""win"",""ver"":4}",win,1901,8321
1,impbeacon,GN,5,"{""type"":""win"",""ver"":1}",win,50,214
1,impbeacon,GN,1,"{""type"":""win"",""ver"":4}",win,16,80
28,impbeacon,GP,45,"{""type"":""win"",""ver"":5}",win,3323,14275
1,impbeacon,GQ,2,"{""type"":""win"",""ver"":1}",win,9,36
1,impbeacon,GQ,1,"{""type"":""win"",""ver"":4}",win,1,5
2,impbeacon,GR,4,NULL,NULL,63,0
2,impbeacon,GR,7,"{""type"":""win"",""ver"":3}",win,87,377
1,impbeacon,GT,6,"{""type"":""win"",""ver"":1}",win,12,51
10,impbeacon,GT,34,"{""type"":""win"",""ver"":4}",win,1643,6213
2,impbeacon,GY,17,"{""type"":""win"",""ver"":5}",win,965,4065
9,impbeacon,HR,24,"{""type"":""win"",""ver"":5}",win,797,3505
14,impbeacon,HU,53,"{""type"":""win"",""ver"":5}",win,8619,35985
1,impbeacon,ID,5,NULL,NULL,13,0
1,impbeacon,ID,12,"{""type"":""win"",""ver"":3}",win,142,627
4,impbeacon,IE,12,"{""type"":""win"",""ver"":5}",win,418,1732
4,impbeacon,IL,20,"{""type"":""win"",""ver"":1}",win,3004,13329
46,impbeacon,IL,56,"{""type"":""win"",""ver"":4}",win,15287,67438
1,impbeacon,IN,3,"{""type"":""win"",""ver"":2}",win,6,27
97,impbeacon,IN,78,"{""type"":""win"",""ver"":5}",win,16012,66052
5,impbeacon,IQ,28,"{""type"":""win"",""ver"":5}",win,1533,6976
9,impbeacon,IR,18,"{""type"":""win"",""ver"":1}",win,483,2000
167,impbeacon,IR,70,"{""type"":""win"",""ver"":4}",win,36472,127131
1,impbeacon,IT,1,"{""type"":""win"",""ver"":2}",win,1,4
